timestamp_start,timestamp_end,most_played_artist,most_played_song,artist_duration,song_duration
12/23/2022,12/30/2022,Ludovico Einaudi,61 Others,26,9
12/30/2022,1/6/2023,Taylor Swift,Enchanted,31,11
1/6/2023,1/13/2023,Taylor Swift,Enchanted,107,23
1/13/2023,1/20/2023,Taylor Swift,Enchanted,61,11
1/20/2023,1/27/2023,Taylor Swift,Enchanted,21,11
1/27/2023,2/3/2023,Taylor Swift,Enchanted,1197,409
2/3/2023,2/10/2023,Taylor Swift,Enchanted,739,129
2/10/2023,2/17/2023,Ludovico Einaudi,61 Others,17,7
2/17/2023,2/24/2023,Taylor Swift,Enchanted,190,113
2/24/2023,3/3/2023,Ludovico Einaudi,Nuvole Bianche,234,39
3/3/2023,3/10/2023,Ludovico Einaudi,Enchanted,352,36
3/10/2023,3/17/2023,Ludovico Einaudi,Oltremare,10,10
3/17/2023,3/24/2023,Ludovico Einaudi,61 Others,32,14
3/24/2023,3/31/2023,Taylor Swift,Enchanted,317,41
3/31/2023,4/7/2023,Taylor Swift,61 Others,191,174
4/7/2023,4/14/2023,Taylor Swift,61 Others,498,379
4/14/2023,4/21/2023,Ludovico Einaudi,Nuvole Bianche,607,509
4/21/2023,4/28/2023,Ludovico Einaudi,Nuvole Bianche,323,148
4/28/2023,5/5/2023,Taylor Swift,Enchanted,157,73
5/5/2023,5/12/2023,Ludovico Einaudi,61 Others,153,100
5/12/2023,5/19/2023,16 Others,61 Others,364,364
5/19/2023,5/26/2023,Taylor Swift,Sparks Fly,210,24
5/26/2023,6/2/2023,Taylor Swift,Nuvole Bianche,422,286
6/2/2023,6/9/2023,Taylor Swift,61 Others,12,4
6/9/2023,6/16/2023,Taylor Swift,Enchanted,76,15
6/16/2023,6/23/2023,Taylor Swift,61 Others,35,7
6/23/2023,6/30/2023,Taylor Swift,Enchanted,130,11
6/30/2023,7/7/2023,Taylor Swift,61 Others,103,11
7/7/2023,7/14/2023,Taylor Swift,Enchanted,88,23
7/14/2023,7/21/2023,Taylor Swift,Nuvole Bianche,217,21
7/21/2023,7/28/2023,Taylor Swift,Enchanted,132,17
7/28/2023,8/4/2023,Taylor Swift,61 Others,161,34
8/4/2023,8/11/2023,Taylor Swift,61 Others,161,11
8/11/2023,8/18/2023,Taylor Swift,Enchanted,233,23
8/18/2023,8/25/2023,Taylor Swift,Nuvole Bianche,66,44
8/25/2023,9/1/2023,16 Others,61 Others,65,26
9/1/2023,9/8/2023,Taylor Swift,Enchanted,108,11
9/8/2023,9/15/2023,Westlife,61 Others,132,24
9/15/2023,9/22/2023,Taylor Swift,61 Others,167,14
9/22/2023,9/29/2023,16 Others,61 Others,23,23
9/29/2023,10/6/2023,Westlife,61 Others,145,24
10/6/2023,10/13/2023,Taylor Swift,61 Others,96,14
10/13/2023,10/20/2023,Taylor Swift,61 Others,105,30
10/20/2023,10/27/2023,Westlife,61 Others,84,49
10/27/2023,11/3/2023,Westlife,61 Others,155,23
